Company Name,Ticker,Country,Industry,Year,Revenue,Revenue Unit,Net Income,Total Assets,Operating Cash Flow
Coterra Energy Inc.,CTRA,United States,Oil & Gas E&P,2024,5458000000.0,USD,1121000000.0,21625000000.0,2795000000.0
Coterra Energy Inc.,CTRA,United States,Oil & Gas E&P,2023,5914000000.0,USD,1625000000.0,20415000000.0,3658000000.0
Coterra Energy Inc.,CTRA,United States,Oil & Gas E&P,2022,9051000000.0,USD,4065000000.0,20154000000.0,5456000000.0
"CrowdStrike Holdings, Inc.",CRWD,United States,Software - Infrastructure,2025,3953624000.0,USD,-19271000.0,8701578000.0,1381727000.0
"CrowdStrike Holdings, Inc.",CRWD,United States,Software - Infrastructure,2024,3055555000.0,USD,89327000.0,6646520000.0,1166207000.0
"CrowdStrike Holdings, Inc.",CRWD,United States,Software - Infrastructure,2023,2241236000.0,USD,-183245000.0,5026540000.0,941007000.0
Crown Castle Inc.,CCI,United States,REIT - Specialty,2024,6568000000.0,USD,-3903000000.0,32736000000.0,2943000000.0
Crown Castle Inc.,CCI,United States,REIT - Specialty,2023,6981000000.0,USD,1502000000.0,38527000000.0,3126000000.0
Crown Castle Inc.,CCI,United States,REIT - Specialty,2022,6986000000.0,USD,1675000000.0,38921000000.0,2878000000.0
Danaher Corporation,DHR,United States,Diagnostics & Research,2024,23875000000.0,USD,3899000000.0,77542000000.0,6688000000.0
Danaher Corporation,DHR,United States,Diagnostics & Research,2023,23890000000.0,USD,4764000000.0,84488000000.0,7164000000.0
Danaher Corporation,DHR,United States,Diagnostics & Research,2022,26643000000.0,USD,7209000000.0,84350000000.0,8519000000.0
"Darden Restaurants, Inc.",DRI,United States,Restaurants,2025,12076700000.0,USD,1049600000.0,12587000000.0,1698500000.0
"Darden Restaurants, Inc.",DRI,United States,Restaurants,2024,11390000000.0,USD,1027600000.0,11323000000.0,1611900000.0
"Darden Restaurants, Inc.",DRI,United States,Restaurants,2023,10487800000.0,USD,981900000.0,10241500000.0,1545600000.0
"Datadog, Inc.",DDOG,United States,Software - Application,2024,2684275000.0,USD,183746000.0,5785339000.0,870603000.0
"Datadog, Inc.",DDOG,United States,Software - Application,2023,2128359000.0,USD,48568000.0,3936072000.0,659954000.0
"Datadog, Inc.",DDOG,United States,Software - Application,2022,1675100000.0,USD,-50160000.0,3004852000.0,418407000.0
Deere & Company,DE,United States,Farm & Heavy Construction Machinery,2025,,USD,,,
Deere & Company,DE,United States,Farm & Heavy Construction Machinery,2024,50518000000.0,USD,7100000000.0,107320000000.0,9231000000.0
Deere & Company,DE,United States,Farm & Heavy Construction Machinery,2023,60248000000.0,USD,10166000000.0,104087000000.0,8589000000.0
Deutsche Bank Aktiengesellschaft,DB,Germany,Banks - Regional,2024,30048000000.0,USD,3366000000.0,1387177000000.0,-28584000000.0
Deutsche Bank Aktiengesellschaft,DB,Germany,Banks - Regional,2023,28875000000.0,USD,4772000000.0,1312331000000.0,5606000000.0
Deutsche Bank Aktiengesellschaft,DB,Germany,Banks - Regional,2022,26656000000.0,USD,5525000000.0,1336788000000.0,-2113000000.0
Devon Energy Corporation,DVN,United States,Oil & Gas E&P,2024,15940000000.0,USD,2891000000.0,30489000000.0,6600000000.0
Devon Energy Corporation,DVN,United States,Oil & Gas E&P,2023,15258000000.0,USD,3747000000.0,24490000000.0,6544000000.0
Devon Energy Corporation,DVN,United States,Oil & Gas E&P,2022,19169000000.0,USD,6015000000.0,23721000000.0,8530000000.0
"DexCom, Inc.",DXCM,United States,Medical Devices,2024,4033000000.0,USD,576200000.0,6484500000.0,989500000.0
